"direccion";"latitud";"longitud"
"Carrera 17 NO 60 - 269";5,06125;-75,48392
"KM 4 VIA SONSON BRR LOS ANDES";5,45461;-74,66294
"KM 3 VIA A PEREIRA";4,80506;-75,6937
"Carrera 6 NO 6 - 23 KM 1 SALIDA A SALAMINA";5,2711;-75,49058
"VDA EL CHAGUALO KM 1.5 VIA EL PEÑOL";6,17388;-75,33439
"Carrera 48 No 49 B SUR 45";6,16282;-75,60289
"PARAJE EL SOCORRO";6,44676;-74,87749
"Carrera 4 NO 18 - 34";5,40123;-75,54595
"KM 15 VÍA TURBO – VDA AGUAS DULCES CORREGIMIENTO CURRULAO";8,09298;-76,72895
"PALACIO MUNICIPAL KM 1 VIA A SAN FELIX";5,4034;-75,48681
"Carrera 50 No  70 - 36";5,92956;-75,67374
"Calle 13 No 22 - 151";6,4395;-75,3353
"PALACIO MUNICIPAL";5,42103;-75,70286
"KILM 1 VIA LA COSTA OFICINA CLL 22  19-33 PISO 2";6,96263;-75,41777
"SALIDA CAMPAMENTO - YARUMAL";6,96005;-75,33449
"Calle MARIA DEL PARDO, 0,5 KM VIA OTU";7,02812;-74,69495
"Carrera 20 No 17-13";6,32591;-75,76878
"Carrera 7 CON Calle 10 ESQUINA VDA LA UNION SOBRE LA VIA QUE CONDUCE A SUPIA";5,42151;-75,70309
"PALACIO MUNICIPAL";5,22261;-76,02959
"Calle 20 No 19 - 36 SALIDA A SANTO DOMINGO";6,37766;-75,14114
"Carrera 23 No 22 B - 86 SECTOR LA VEGA";7,20915;-75,90177
"VDA PARAJE ATANASIO";5,87575;-75,56803
"Calle 27 No 027 Barrio JORGE TULIO GARCES";5,87229;-74,6408
"PALACIO MUNICIPAL";5,42103;-75,70286
"KILOMETRO 2,5 VEREDA RIO ARRIBA";5,71281;-75,27945
"Calle 103 EE No 63 D - 69";6,3063;-75,58505
"KM 0.5 DE ABEJORRAL VIA EL CAIRO-SANTA BARBARA";5,78951;-75,42729
"Carrera 29 NO 25 - 63";6,07999;-75,33255
"SALIDA POR LA Calle  DE LA LLANA";6,77301;-74,79842
"KM 1 VIA CONCORDIA - BETULIA SECTOR PEÑITAS";6,04647;-75,90703
"Carrera CORDOBA No 17 - 84 (VIA DE SALIDA AL MUNICIPIO DE ALEJANDRIA)";6,39423;-75,25812
"BARRIO MANGURUMA-SECTOR LA MANDARINA";6,78186;-76,12918
